Licence Number,UWI,Client,Phase 1 ESA Vendor,PH 1 Year,Phase 1 ESA Result,Phase 1 ESA Well Centre,Phase 1 ESA Drilling Waste Disposal,Phase 1 ESA Flare Pit,Phase 1 ESA Aboveground Infrastructure,Phase 1 ESA Underground Storage Tank,Phase 1 ESA Spill,Phase 1 ESA Other APEC,Phase 2 ESA Vendor,Phase 2 ESA Year,Phase 2 ESA Result,Phase 2 ESA Well Centre,Phase 2 ESA Drilling Waste Disposal,Phase 2 ESA Flare Pit,Phase 2 ESA Aboveground Infrastructure,Phase 2 ESA Underground Storage Tank,Phase 2 ESA Spill,Phase 2 ESA Other APEC,Phase 2 ESA Well Centre Contaminated Volume (m3),Phase 2 ESA Drilling Waste Disposal Contaminated Volume (m3),Phase 2 ESA Flare Pit Contaminated Volume (m3),Phase 2 ESA Aboveground Infrastructure Contaminated Volume (m3),Phase 2 ESA Underground Storage Tank Contaminated Volume (m3),Phase 2 Spill Area Volume (m3),Phase 2 ESA Combined Contaminated Volume (m3),Remediation Vendor,Remediation Year,Well Centre Volume Remediated (m3),Drilling Waste Disposal Volume Remediated (m3),Flare Pit Volume Remediated (m3),Aboveground Infrastructure Volume Remediated (m3),Underground Storage Tank Volume Remediated (m3),Remediated Combined Volume (m3),Notes,Source,Cost - Phase 1 ESA,Cost - Phase 2 ESA,Cost - Phase 3 Remedial Report,Who entered the data,Source Dates,Budget (high level) or Amount,Units - Project Manager,Units - Project Coordinator ,Units - Administration ,Units - Line Locates ,Units - Hydrovac Lines ,Units - Survey,Units - Liner ,Units - Lowboy Equipment Mob/Demob,Units - Site Supervisor ,Units - Excavator ,Units - D6 Dozer ,Units - Operator Travel Time ,Units - Operator Crew Truck ,Units - Equipment Crew Subsistence ,Units - Lab Analysis ,Units - Truck and Pup,Units - Loader
,131/11-25-019-25W3/00,Canadian Natural Resources Limited,,,Fail,,,,,,,,Other,2018,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,,,,,,,,,,,,,,,,,CNRL files,,,,Alice,2018,,,,,,,,,,,,,,,,,,
,100/11‐32‐012‐15W4/00,Canadian Natural Resources Limited,,,Fail,,,,,,,,Other,2018,Fail,Fail,,,,,,,,,,,,,,,,,,,,,,"SECURE recommends assessment of the well centre area upon abandonment of the
onsite facilities to provide liability closure for the Site",CNRL files,,,,Alice,2018,,,,,,,,,,,,,,,,,,
,100/12‐08‐013‐15W4/00,Canadian Natural Resources Limited,,,Fail,,,,,,,,Other,2017,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,,,,,,,,,,,,,,,,,CNRL files,,,,Alice,2017,,,,,,,,,,,,,,,,,,
,121/08-14-034-26W3/00,Conoco Phillips Canada,,,Fail,,,,,,,,Other,2009,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,,,,,,,,,,,,,,,,,CNRL files,,,,Alice,2009,,,,,,,,,,,,,,,,,,
,141/12‐14‐015‐27W3M,Canadian Natural Resources Limited,,,Fail,,,,,,,,Other,2020,Fail,Fail,Fail,Pass,Pass,Pass,Pass,Pass,,,,,,,,,,,,,,,,,CNRL files,,,,Alice,2020,,,,,,,,,,,,,,,,,,
,141/12‐14‐017‐27W3/00,Canadian Natural Resources Limited,,,Fail,,,,,,,,Other,2018,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,,,,,,,,,,,,,,,,,CNRL files,,,,Alice,2018,,,,,,,,,,,,,,,,,,
,141/12‐25‐013‐25W3M  ,Canadian Natural Resources Limited,,,Fail,,,,,,,,Other,2020,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,,,,,,,,,,,,,,,,,CNRL files,,,,Alice,2020,,,,,,,,,,,,,,,,,,
,100/13‐03‐011‐18W4/00,Canadian Natural Resources Limited,,,Fail,,,,,,,,Other,2018,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,,,,,,,,,,,,,,,,,CNRL files,,,,Alice,2018,,,,,,,,,,,,,,,,,,
,111/13-09-013-25W3/00,Canadian Natural Resources Limited,,,Fail,,,,,,,,Other,2019,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,,,,,,,,,,,,,,,,,CNRL files,,,,Alice,2019,,,,,,,,,,,,,,,,,,
,100/13‐14‐016‐20W4/00,Canadian Natural Resources Limited,,,Fail,,,,,,,,Other,2018,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,,,,,,,,,,,,,,,,,CNRL files,,,,Alice,2018,,,,,,,,,,,,,,,,,,
,100/13‐17‐013‐15W4/00,Canadian Natural Resources Limited,,,Fail,,,,,,,,Other,2018,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,,,,,,,,,,,,,,,,,CNRL files,,,,Alice,2018,,,,,,,,,,,,,,,,,,
,100/13‐20‐016‐11W4/00,Canadian Natural Resources Limited,,,Fail,,,,,,,,Other,2017,Fail,,,,,,,,,,,,,,,,,,,,,,,"SECURE recommends further assessment of the anthropogenic impacts onsite to
determine remediation options.  ",CNRL files,,,,Alice,2017,,,,,,,,,,,,,,,,,,
,100/04‐06‐016‐17W4/00,Canadian Natural Resources Limited,,,Fail,,,,,,,,Other,2018,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,,,,,,,,,,,,,,,,,CNRL files,,,,Alice,2018,,,,,,,,,,,,,,,,,,
,100/13‐36‐012‐16W4/00,Canadian Natural Resources Limited,,,Fail,,,,,,,,Other,2018,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,,,,,,,,,,,,,,,,,CNRL files,,,,Alice,2018,,,,,,,,,,,,,,,,,,
,"141/14‐01‐015‐27W3M, 191/04‐12‐015‐27W3M and  
191/16‐01‐015‐27W3M  ",Canadian Natural Resources Limited,,,Fail,,,,,,,,Other,2020,Fail,Fail,Fail,Pass,Fail,Pass,Pass,Pass,,,,,,,,,,,,,,,,,CNRL files,,,,Alice,2020,,,,,,,,,,,,,,,,,,
